Venture_SKU,Homeroom_SKU
9313-400,1560328-01-0
GR21479,1647564-01-0
15514-354,1625583-03-44
GR25300-666,1652177-02-0
GR22436,1669149-01-0
GR22926,1743600-01-0
GR22821,1746096-01-0
GR22254,1694818-01-0
GR23506,1746049-01-0
GR22114,1669823-01-0
GR22866,1743358-01-0
GR23885,1746119-01-0
GR19786,1619130-01-0
16069-503,1726704-04-32
16026-100,1732177-01-569
GR18321,1607496-02-0
GR18323,1601296-01-0
GR21836,1647588-01-0
GR18328,1601297-01-0
15692-555,1675058-01-715
15511-341,1625582-03-44
GR21265,1650055-02-0
GR21267,1650056-01-0
GR18809,1604425-01-0
GR18379,1601253-01-0
GR21255,1648519-01-0
GR19640,1650208-01-0
16025-100,1719341-01-713
GR20016,1629108-04-0
GR21278,1650053-01-0
GR979,1694798-01-0
19986-339,1573237-04-45
GR20027,1652188-01-0
GR21961,1650302-01-0
9262-001,1562560-01-0
GR20195,1627114-01-0
GR20189,1627111-01-0
GR389,1652203-01-0
1133-333,1599988-03-0
15416-603,1651929-02-13
15964-505,1740502-01-23
15519-361,1625584-03-200
8093-751,1523911-01-2
GR23245,1743344-02-0
15012-588,1609177-01-0
17023-001,1732964-01-0
GR18714,1602097-01-0
GR18288,1607594-01-0
GR18396,1601285-01-0
GR18057,1596861-03-0
18064-468,1596880-01-0
GR23288,1744229-02-0
17048-501,1726706-01-93
7218-001,1645035-02-0
9614-076,1601191-01-0
GR22520,1694780-01-0
GR20802,1624389-02-13
GR23322,1734323-02-0
7314-007,1577738-01-0
1521-2048,1645034-01-0
29280-265,1748381-02-0
50055-113,1744338-01-0
GR22781,1696796-01-0
GR22782,1696781-01-0
9516-244,1699584-01-0
GR22810,1743612-01-0
GR21615,1650719-01-0
19996-170,1727925-01-0
GR19890,1745990-01-0
19924-855,1616167-01-0
GR18091,1607585-01-0
GR23229,1743375-01-0
GR21354,1650082-01-0
GR21361,1650086-01-0
GR19343,1610348-01-0
GR22826,1722565-01-0
GR19760,1619125-01-0
18045-005,1616157-01-0
15952-202,1695531-02-151
GR23520,1746154-01-0
1532-238,1645027-01-0
GR19965,1694916-01-0
6094-400,1725535-01-0
GR22394,1669134-01-0
19947-100,1746348-01-0
15967-505,1740504-02-23
GR874,1652271-01-0
GR19746,1743312-01-0
18000-679,1541296-01-0
GR19887,1745985-01-0
GR18763,1602068-01-0
18026-335,1576109-02-41
GR20265,1629094-01-0
GR20636,1652232-01-0
GR23922,1746003-01-0
GR14014,1745997-01-0
15007-588,1609189-01-0
GR23135,1745998-02-0
GR20258,1639842-01-0
19907-877,1734371-01-0
GR18359,1600106-01-0
GR22683,1702372-01-0
GR22679,1702392-01-0
GR20634,1652232-02-0
6081-002,1725551-01-0
60021-002,1703363-01-118
50065-007,1744334-01-0
GR19025,1607644-01-0
17070-001,1732967-01-0
29993-182,1719340-01-0
GR20420,1629110-01-0
GR21550,1647462-01-0
GR19121,1610307-01-0
16004-104,1713573-01-40
GR20227,1626486-01-0
15009-468,1609182-02-0
17002-503,1726695-03-31
GR20677,1652264-01-0
GR19123,1743321-01-0
GR19743,1650233-01-0
GR731,1596883-03-0
GR19742,1743458-02-0
15624-010,1715534-01-0
15561-995,1666889-01-0
16057-101,1716955-01-713
60005-101,1727940-02-0
GR22393,1669134-03-0
GR22404,1669137-01-0
60033-001,1703316-01-345
GR18134,1607593-01-0
15539-788,1625451-02-0
19990-102,1740868-02-44
15582-980,1666915-05-0
15500-885,1650540-02-0
GR20435,1629062-01-0
GR21461,1647553-01-0
48000-011,1713575-01-0
9529-444,1600254-01-0
17038-000,1732966-01-0
15556-655,1666908-01-0
GR937,1652287-01-0
GR954,1577623-01-0
GR19999,1650235-01-0
GR20230,1626829-01-0
GR19825,1745971-01-0
30039-105,1746135-01-0
15024-188,1619249-01-0
18034-458,1574542-01-0
19987-339,1573237-04-209
GR20560,1627015-01-0
GR20581,1747033-01-0
GR23540,1746281-01-0
GR23535,1746278-02-0
19937-458,1734373-01-0
GR21336,1648552-01-0
GR19440,1743427-04-0
GR950,1577603-01-0
29993-210,1713567-01-0
6031-001,1737575-01-0
GR19962,1619104-01-0
15988-704,1695524-02-78
2051-400,1699583-01-0
GR19895,1745987-01-0
15929-911,1691076-04-651
42000-432,1744355-02-0
15988-702,1695524-03-78
GR18630,1607599-01-0
GR20657,1652257-01-0
15550-987,1666888-02-0
GR23073,1743588-01-0
GR22529,1694766-01-0
GR22336,1669110-01-0
GR19730,1746082-01-0
GR22024,1669920-02-0
29919-552,1676723-01-0
15457-458,1734367-01-0
GR22107,1669827-01-0
GR22347,1669828-01-0
50066-001,1744346-01-0
GR22344,1669822-01-0
15677-160,1675492-02-715
15358-208,1619244-01-0
17030-001,1732954-01-0
GR19597,1619001-01-0
GR21729,1702431-01-0
GR786,1747037-01-0
GR21821,1650247-01-0
15962-502,1740502-02-13
GR18970,1604365-01-0
16064-105,1715044-01-716
GR18972,1604363-01-0
15558-888,1666890-04-0
GR21503,1647446-01-0
15572-888,1666895-02-0
GR21697,1650167-01-0
GR21731,1702425-01-0
GR22233,1673234-01-0
15702-300,1671345-01-39
GR23368,1734308-01-0
GR18369,1600098-01-0
60008-004,1703408-01-48
53000-011,1744312-01-0
15560-030,1708778-01-0
GR20740,1636654-01-0
GR22182,1669887-01-0
GR20538,1627011-01-0
60015-002,1703381-01-118
60028-004,1703411-01-48
1026-408,1564690-02-0
GR20237,1626835-01-0
19940-102,1730648-01-0
6046-002,1725555-01-0
GR19258,1610255-01-0
GR18953,1691604-01-0
GR23594,1746193-02-0
19985-110,1740896-01-44
GR18973,1604370-01-0
GR18971,1604366-01-0
GR23589,1746192-01-0
6023-550L,1601985-01-0
GR18280,1601309-01-0
GR18292,1601206-01-0
6049-550L,1601194-01-0
6080-550L,1599991-01-0
51074-120,1744329-01-41
GR42400-111,1566812-03-0
GR20000-000,1564812-01-0
19240-262,1528148-01-0
GR866,1577632-01-0
GR18180-262,1564830-01-0
GR20030-333,1564725-01-0
GR18683,1602071-01-0
GR18643,1602183-01-0
GR942,1577650-01-0
GR19071,1607526-01-0
GR19069,1607524-01-0
GR100003,1607568-01-0
GR19035,1607507-01-0
GR19033,1607501-01-0
GR19920,1743308-01-0
17013-501,1726695-05-48
19936-050,1713570-01-0
GR22780,1696640-01-0
15626-208,1704613-01-0
15357-208,1619247-03-0
15663-480,1679838-01-0
GR23113,1743569-01-0
GR18687,1602187-01-0
GR18690,1602184-01-0
GR18565,1602126-01-0
GR18637,1602074-01-0
GR91000-112,1562120-01-0
GR15090-999,1564711-01-0
4131-622,1564663-02-0
GR943,1577633-01-0
19902-885,1574555-02-0
GR17070-777,1566906-02-0
19939-906,1558416-03-2
7114-005,1560320-01-0
GR100014,1566818-01-0
9738-724L,1566903-02-0
GR18632,1602242-01-0
GR30100-555,1564782-01-0
GR21778,1650248-01-0
9032-145L,1600233-02-0
GR18647,1602186-01-0
GR18633,1602078-01-0
GR19052,1607514-01-0
GR19067,1607522-01-0
GR19051,1607511-01-0
GR19167,1607545-01-0
GR18309,1601290-01-0
GR18268,1601305-01-0
GR944,1577661-01-0
GR867,1577643-01-0
GR18620,1602017-01-0
GR18682,1602010-01-0
9608-076,1600309-01-0
15514-888,1650532-01-0
GR18147,1600153-01-0
GR21860,1650270-01-0
1009-402,1645060-03-0
GR20052,1694813-03-0
GR18534,1602027-02-0
GR14056,1694837-01-0
15407-702,1651924-01-23
GR21394,1647508-01-0
GR20042,1694905-01-0
GR21348,1648477-04-0
GR18783,1602143-01-0
GR18106,1601203-01-0
GR18464,1601236-01-0
GR18681,1602008-01-0
GR899,1652211-01-0
GR20212,1639839-01-0
15419-601,1651940-03-23
GR18105,1600108-01-0
7114-009L,1601993-01-0
GR21789,1650251-01-0
GR21345,1648560-01-0
GR21343,1648558-01-0
GR18361,1600144-01-0
15502-888,1650544-02-0
GR21609,1650120-01-0
GR20170,1629054-02-0
GR22618,1699699-01-0
GR19655,1694975-01-0
GR19870,1694784-01-0
GR21702,1650176-01-0
GR21865,1650266-01-0
GR18797,1604416-01-0
GR20108,1694831-01-0
GR872,1652284-01-0
GR19361,1610365-01-0
GR18680,1602009-01-0
15413-601,1651926-01-23
15404-603,1651935-02-13
GR21454,1647559-01-0
GR21602,1650109-01-0
GR18548,1601878-01-0
GR21217,1648504-01-0
GR21341,1648556-01-0
GR18535,1602025-02-0
GR19161,1607534-01-0
GR21852,1647579-01-0
GR21092,1655283-01-23
GR18465,1600082-01-0
GR21346,1648561-01-0
15401-603,1651936-03-23
15417-702,1651928-01-13
GR146,1600152-01-0
GR18547,1601870-01-0
60065-004,1703371-01-48
60028-002,1703411-01-118
60065-002,1703371-01-118
15715-325,1683602-01-45
60036-001,1703356-01-345
15538-788,1625450-01-0
15439-603,1636640-03-23
18027-399,1574544-01-0
GR20976,1624384-02-23
18048-180,1711843-01-0
GR19724,1619048-01-0
60098-001,1703390-01-345
60062-004,1703382-01-48
GR22603,1699713-01-0
GR21062,1655276-01-23
GR22749,1702406-01-0
GR21853,1647582-01-0
GR22596,1699585-01-0
60082-001,1703376-01-345
GR20988,1624391-03-23
GR20388,1629105-02-0
19948-255,1566820-01-0
GR16190-991,1566814-01-0
GR747,1596867-01-0
GR20869,1625924-01-23
60096-002,1703412-01-118
60070-001,1703399-01-345
GR20752,1636650-01-0
GR18551,1601864-01-0
60034-002,1703333-01-118
GR712,1596899-01-0
GR858,1652182-01-0
GR20786,1624379-02-13
GR20874,1624354-01-22
15444-601,1636637-02-22
15414-603,1651929-02-22
GR19697,1626915-01-0
GR965,1652272-01-0
GR20115,1629054-01-0
GR640,1652206-01-0
GR20177,1629126-01-0
GR20105,1627075-01-0
GR813,1652283-01-0
29993-200,1715036-03-0
60041-001,1703334-01-345
GR21078,1655281-01-22
GR21007,1624362-01-22
9515-011,1607564-01-0
19994-685,1574550-02-0
GR19488,1618972-01-0
GR18784,1691596-01-0
GR18872,1604449-01-0
15439-602,1636640-02-23
15442-602,1636639-02-22
GR859,1577658-01-0
7117-005,1560318-01-0
GR20933,1624378-02-23
GR20941,1624345-03-23
GR20906,1624356-03-22
GR907,1577595-01-0
GR100019,1607569-01-0
GR20996,1624385-01-23
GR20838,1624384-02-13
GR19129,1610305-01-0
GR19665,1619072-01-0
GR20805,1624377-01-13
GR20852,1624392-03-13
60095-002,1703327-01-118
60018-003,1703358-01-136
9288-400,1557098-01-0
GR91000-158,1564757-01-0
GR982,1577859-01-0
GR40500-180,1566825-01-0
60042-003,1703342-01-136
60064-001,1703372-01-345
60006-001,1703361-01-345
60007-001,1703351-01-345
GR20912,1624379-02-23
GR18032,1596872-02-0
GR20834,1624392-01-13
GR20987,1624393-02-23
GR20109,1627079-01-0
GR20878,1624362-02-23
15702-421,1691091-01-39
29993-201,1715036-01-0
GR20250,1626850-01-0
GR20102,1627077-01-0
15414-702,1651918-02-22
60057-001,1703392-01-345
60056-003,1703360-01-136
60046-004,1703341-01-48
60047-004,1703320-01-48
GR38500-300,1652138-01-0
60097-003,1703352-01-136
60086-002,1703328-01-118
60023-003,1703366-01-136
GR21825,1650252-01-0
GR21593,1648684-01-0
GR21059,1655279-03-23
GR16490-450,1564770-01-0
GR21474,1647575-01-0
60066-002,1703326-01-118
9615-076,1600251-01-0
GR21138,1655273-01-23
GR22610,1699567-01-0
60043-001,1703355-01-345
60083-001,1703413-01-345
GR18553,1602092-01-0
60089-003,1703407-01-136
60078-001,1703414-01-345
GR19158,1607531-01-0
GR21113,1655285-03-23
60076-003,1703383-01-136
60056-004,1703360-01-48
60043-003,1703355-01-136
GR18159,1601258-01-0
GR18623,1602013-01-0
15413-602,1651926-02-23
GR21842,1650260-01-0
15408-702,1651927-01-22
GR21349,1648477-03-0
60049-003,1703404-01-136
60054-001,1703402-01-345
GR21353,1650081-01-0
GR20445,1629049-02-0
7216-349L,1601980-02-0
GR22517,1694943-01-0
GR21087,1655281-02-22
GR22785,1696797-01-0
GR21381,1647499-01-0
GR18153,1600091-01-0
60100-004,1719352-01-48
GR19378,1610330-01-0
GR21898,1650280-01-0
5810-025,1601984-01-0
19938-985,1541335-03-0
60012-002,1703348-01-118
GR19696,1626914-01-0
GR19699,1626918-01-0
GR955,1577618-01-0
GR18039,1596869-02-0
GR18024,1596876-05-0
GR726,1596876-01-0
9525-244,1691117-01-0
GR915,1577594-01-0
GR20050,1694792-01-0
GR21944,1650292-01-0
GR20157,1694796-01-0
GR20159,1694972-01-0
GR18848,1604428-01-0
GR18162,1601261-01-0
9524-244,1691106-01-0
GR22630,1699697-01-0
GR21112,1655284-03-23
GR18587,1602002-01-0
GR18348,1602040-01-0
15407-602,1651939-03-23
GR21438,1647533-01-0
GR21240,1648513-01-0
GR10600-180,1564804-01-0
GR793,1558584-03-2
GR19495,1618974-01-0
60097-002,1703352-01-118
60007-002,1703351-01-118
GR19717,1619034-01-0
15441-603,1636639-03-22
60078-004,1703414-01-48
GR91000-148,1564833-01-0
GR19704,1619038-01-0
16028-501,1726916-01-20
GR91000-153,1564719-01-0
60007-003,1703351-01-136
60087-001,1703394-01-345
GR51100-000,1566823-03-0
GR20477,1652134-01-0
18048-211,1715037-01-0
GR20200,1629120-01-0
GR25000-666,1564823-01-0
GR80100-100,1566887-01-0
GR20132,1619092-01-0
GR18540,1602100-01-0
GR18676,1602033-01-0
60051-001,1703325-01-345
GR20846,1624385-01-13
GR22594,1699578-01-0
60087-002,1703394-01-118
GR19662,1619076-01-0
60020-002,1703378-01-118
GR20787,1624383-01-13
60053-002,1703318-01-118
60072-003,1703332-01-136
60000-002,1703389-01-118
60047-001,1703320-01-345
60093-001,1703387-01-345
GR10300-180,1566904-02-0
GR21102,1655281-02-23
GR757,1556353-01-0
GR10900-180,1564828-01-0
GR20205,1629119-01-0
GR21013,1624358-01-22
15509-888,1650537-01-0
GR20038,1626938-01-0
GR20098,1627078-01-0
GR18584,1602128-01-0
60051-003,1703325-01-136
GR260,1607549-01-0
GR21653,1650143-01-0
GR20209,1629115-03-0
GR21788,1650245-01-0
GR891,1652288-01-0
GR584,1652229-02-0
GR18622,1601877-01-0
GR21252,1648518-01-0
60074-004,1703317-01-48
15443-701,1636644-01-23
60073-002,1703340-01-118
60086-004,1703328-01-48
GR20216,1629115-02-0
GR21077,1655283-01-22
60024-002,1703336-01-118
GR20855,1624373-01-23
60040-002,1703338-01-118
GR21038,1655273-02-22
GR39700-120,1566898-01-0
GR18023,1596876-06-0
15441-601,1636639-01-22
60055-001,1703362-01-345
658980,1600020-01-0
GR80600-100,1564743-01-0
GR956,1577854-01-0
60069-002,1703374-01-118
19906-328,1528162-01-0
GR21028,1624349-02-22
GR106,1546655-01-0
GR419,1596922-02-0
GR902,1577730-01-0
60003-003,1703369-01-136
60035-002,1703329-01-118
9334-014,1560313-01-0
15424-602,1651931-01-23
GR20166,1619060-01-0
GR18758,1604405-01-0
GR20508,1629068-01-0
19996-685,1574926-01-0
GR18668,1604651-02-0
GR18782,1602237-01-0
GR21056,1655279-02-23
60068-002,1703395-01-118
GR18754,1604398-01-0
GR20916,1624384-01-23
GR20788,1624358-03-13
GR20525,1629069-04-0
9327-006,1557107-01-0
GR20965,1624358-01-23
GR19660,1619074-01-0
60081-004,1703380-01-48
60032-002,1703410-01-118
60095-001,1703327-01-345
15503-800,1650538-02-0
GR38900-300,1652175-02-0
15030-808,1619242-01-0
GR20121,1619089-01-0
GR20819,1624356-02-13
GR20866,1624349-01-23
GR20851,1624390-03-13
GR20830,1624358-01-13
GR20154,1619053-01-0
GR91000-166,1566902-03-0
GR715,1596894-01-0
GR20812,1624349-01-13
GR20064,1627090-01-0
GR20935,1624370-02-23
GR20889,1624341-02-23
9340-089,1566892-02-0
GR18589,1601868-01-0
GR91000-136,1564835-01-0
GR21760,1650726-01-0
GR18047,1596865-01-0
GR18048,1596865-03-0
GR18046,1596865-02-0
GR14006,1694872-01-0
GR18876,1604448-01-0
9281-001,1601192-01-0
GR18517,1600182-02-0
GR18869,1604450-01-0
GR18273,1601307-01-0
GR21780,1650239-01-0
GR18888,1604466-01-0
GR21786,1650243-01-0
GR21783,1647648-01-0
GR21176,1648490-01-0
GR19584,1618983-01-0
GR19579,1618988-01-0
GR19577,1618964-01-0
GR19544,1618952-01-0
GR20476,1652294-01-0
GR962,1577863-01-0
GR964,1577862-01-0
GR23321,1734275-01-0
GR18266,1601303-01-0
GR18646,1702409-01-0
GR100018,1702447-01-0
GR18443,1601314-02-0
GR21677,1650159-01-0
GR18423,1600834-02-0
GR18418,1600146-01-0
GR18422,1600835-01-0
GR18427,1600163-01-0
18029-788,1576105-02-0
GR20826,1624361-01-13
15016-100,1715035-01-0
GR18708,1602208-01-0
GR19427,1650217-01-0
GR767,1556352-01-0
GR22155,1673206-01-0
GR21950,1650296-01-0
GR21445,1647535-01-0
GR21751,1648716-01-0
GR18838,1602133-02-0
GR18841,1602222-01-0
GR18854,1604433-01-0
19891-125,1528181-01-0
GR22651,1696800-01-0
GR22653,1702388-01-0
GR19927,1627024-01-0
19925-850,1616170-02-0
60026-002,1703373-01-118
3301-321,1696989-01-0
GR21921,1647629-01-0
6050-001,1725540-01-0
GR23332,1734328-01-0
15693-695,1675058-02-713
GR18377,1604653-01-0
8271-007,1577739-01-0
9350-004,1600223-01-0
GR21418,1647525-01-0
GR18731,1602085-01-0
GR21441,1650321-01-0
GR21423,1650319-01-0
7230-007,1648594-03-0
GR19171,1607543-01-0
15424-601,1651931-02-23
4133-400,1648574-01-0
16074-104,1715046-01-713
GR20077,1626989-01-0
GR18741,1604383-01-0
GR18707,1602095-01-0
GR19509,1618944-01-0
GR18728,1602192-01-0
17021-507,1726693-08-93
GR21429,1650320-01-0
GR22166,1669883-02-0
GR265,1600095-01-0
GR18424,1600835-02-0
GR18419,1600145-01-0
GR18385,1600094-01-0
GR18948,1604341-01-0
GR18923,1604471-01-0
5811-001,1699077-01-0
GR19764,1627091-01-0
GR19769,1627094-01-0
GR19779,1627110-01-0
GR23354,1734293-01-0
GR19777,1627106-01-0
15511-340,1625582-02-44
18024-337,1576104-02-41
19973-334,1565861-02-45
GR20449,1629058-01-0
GR19960,1694822-01-0
GR20675,1652266-01-0
16015-505,1689729-02-20
7216-339L,1600222-01-0
GR22125,1669854-01-0
GR18131,1607591-01-0
GR18056,1596861-02-0
GR18058,1596863-03-0
48000-170,1744359-01-0
17043-501,1726708-01-152
18029-755,1576105-01-0
17011-000,1732947-01-0
18033-385,1576108-01-45
6111-001,1725514-01-0
15929-910,1691076-03-651
GR21537,1746118-01-0
GR23548,1746272-02-0
GR23531,1746273-01-0
GR23537,1746279-01-0
GR23534,1746278-01-0
GR21516,1647455-01-0
GR22494,1669162-02-0
GR22032,1673174-01-0
GR22163,1673208-02-0
16065-105,1715044-01-713
15618-201,1704617-02-0
2104-014,1696377-02-0
6045-005,1725554-02-0
1001-400,1645037-02-0
1301-305,1599987-02-0
GR18734,1602193-01-0
GR18245,1601245-01-0
15692-420,1675058-03-715
15705-300,1691092-01-129
GR22389,1669143-01-0
GR18609,1602107-01-0
19999-100,1732182-01-0
GR438,1596878-04-0
GR21296,1650072-01-0
GR20246,1652219-01-0
15350-140,1713571-01-0
GR22948,1743551-01-0
GR22946,1743547-01-0
GR23927,1745995-01-0
GR23154,1743545-01-0
GR22949,1743555-01-0
GR23155,1743546-01-0
GR23931,1746198-01-0
19991-778,1574541-01-0
60008-002,1703408-01-118
9316-014,1600241-01-0
GR18994,1604396-01-0
9519-444,1601195-01-0
GR23570,1746038-01-0
9326-022,1560342-01-0
GR21501,1647431-01-0
GR23071,1743582-01-0
9323-022,1648571-02-0
GR21698,1650168-01-0
GR21945,1647640-01-0
GR21334,1650071-01-0
GR22796,1702460-01-0
GR21405,1647484-01-0
GR21534,1702446-01-0
GR166,1601213-01-0
GR14037,1743426-04-0
GR20068,1626979-01-0
15991-702,1695523-03-568
GR22484,1669171-02-0
GR22431,1694803-02-0
GR22472,1669168-02-0
18076-250,1732179-01-0
GR21518,1647481-02-0
GR21531,1647468-01-0
9981-305,1560300-01-0
18078-205,1593493-03-0
GR23307,1734269-01-0
19934-709,1555009-02-0
GR14063,1694794-01-0
9601-075,1600015-01-0
16044-101,1746903-01-716
GR18470,1600141-01-0
GR21400,1647512-01-0
GR21291,1650062-01-0
GR20617,1636666-01-0
GR18747,1604385-01-0
GR19172,1607544-01-0
GR21542,1737329-01-0
GR21693,1650172-01-0
GR18881,1604461-01-0
GR18883,1604463-01-0
GR18865,1604443-01-0
15409-603,1651939-01-22
GR23333,1734329-01-0
GR23323,1734327-01-0
GR23297,1734321-01-0
GR23399,1734299-01-0
GR23350,1734291-01-0
19925-885,1554054-04-0
GR849,1577596-01-0
16027-122,1719337-01-142
GR18789,1602141-01-0
GR18887,1604465-01-0
GR21785,1647609-01-0
GR21793,1647610-01-0
GR19263,1610268-03-0
15560-995,1666887-01-0
GR18242,1601244-01-0
GR18458,1601229-01-0
GR18460,1604652-02-0
9308-001,1561147-01-0
GR18952,1604349-01-0
GR18967,1604361-01-0
19990-101,1740868-01-44
GR21594,1650105-01-0
9983-305,1560352-01-0
GR21596,1648687-01-0
GR23353,1734292-01-0
GR22091,1673190-01-0
17039-505,1726693-01-02
15015-100,1711788-01-0
GR20764,1652295-01-0
GR23512,1746160-01-0
GR23525,1746155-01-0
GR19575,1626895-01-0
GR20224,1626488-01-0
GR882,1577627-01-0
67-302,1560351-01-0
GR18043,1596864-03-0
GR18663,1602016-01-0
18063-468,1596881-01-0
GR23189,1743405-01-0
GR23075,1743592-01-0
GR22034,1673168-02-0
2026-444,1695249-01-0
17057-001,1732935-01-0
60014-002,1703349-01-118
48000-010,1713565-01-0
GR18956,1604350-01-0
GR18806,1604424-01-0
GR23878,1746341-02-0
GR23879,1746125-01-0
GR18206,1600128-01-0
GR18200,1600171-01-0
29993-103,1711779-01-0
47000-220,1744306-01-0
GR18203,1601202-01-0
19905-458,1734370-03-0
GR20539,1627016-01-0
27940-468,1740870-01-0
60005-004,1703397-01-48
15629-201,1704612-03-0
GR23238,1743343-01-0
GR18913,1607615-01-0
9565-027,1607566-01-0
1025-400,1560308-02-0
GR18314,1600838-01-0
GR21828,1650253-01-0
15508-888,1650547-01-0
19973-337,1565861-07-45
50000-010,1744372-01-0
16012-109,1713585-01-569
16016-504,1689732-02-20
16016-505,1689732-04-20
15527-888,1650554-01-0
GR19907,1745992-01-0
GR22157,1673208-01-0
15551-000,1671308-01-0
19908-888,1666902-01-0
19975-330,1628041-01-200
GR22113,1669804-01-0
15574-898,1666921-02-0
GR23683,1745955-01-0
GR22339,1669831-01-0
GR22345,1669832-01-0
GR22341,1669817-01-0
15582-655,1666915-02-0
19993-103,1740926-05-0
19919-660,1541304-02-0
15620-208,1704616-03-0
GR18746,1604387-01-0
4149-408,1737314-02-0
18041-458,1574533-01-0
29919-778,1541304-03-0
15988-107,1715033-01-52
15624-120,1730665-01-0
9559-022,1600021-01-0
GR19015,1607635-01-0
60000-100,1727935-01-0
2094-488,1699071-01-0
15628-250,1708590-02-0
15624-081,1727929-01-0
17011-101,1719350-01-868
1232-076,1648587-01-0
GR21314,1648537-01-0
GR21608,1650131-01-0
GR20053,1694887-01-0
GR18812,1604427-01-0
15405-601,1651936-02-13
GR21333,1648550-01-0
15430-602,1651978-01-553
GR21250,1648488-02-0
GR20054,1694809-01-0
GR21351,1648477-01-0
GR20206,1629114-01-0
GR18697,1602060-01-0
GR21427,1647537-01-0
GR22623,1699581-02-0
7116-009,1600256-01-0
GR18167,1601257-01-0
GR130,1600090-01-0
GR21395,1647486-02-0
60026-001,1703373-01-345
GR19221,1652180-01-0
15524-888,1650566-01-0
GR641,1652207-01-0
GR18978,1604376-01-0
18046-767,1670989-01-0
GR18659,1602036-01-0
GR22783,1696639-01-0
GR20186,1639837-01-0
GR22099,1669813-01-0
GR21130,1655274-02-23
15406-601,1651930-01-23
GR21939,1647608-01-0
GR20181,1629052-01-0
GR19374,1610328-01-0
GR20479,1652182-02-0
GR18346,1602039-01-0
GR22217,1669174-01-0
GR20173,1629046-01-0
GR21093,1655281-01-23
GR21971,1650305-01-0
GR18532,1602027-01-0
GR18539,1602015-01-0
15405-603,1651936-03-13
GR39500-120,1652181-01-0
15501-800,1650543-02-0
GR21856,1647599-01-0
GR978,1694810-01-0
60037-004,1703319-01-48
60058-001,1703322-01-345
60096-004,1703412-01-48
60022-001,1703354-01-345
GR91000-159,1564769-01-0
18049-288,1599340-01-0
15415-701,1651928-02-22
GR798,1652137-01-0
GR20974,1624382-01-23
15442-701,1636638-01-23
60052-002,1703403-01-118
GR19538,1694823-01-0
GR20259,1629086-01-0
GR18099,1601204-01-0
GR959,1577858-01-0
GR19492,1618986-01-0
GR18170,1601266-01-0
60030-001,1703324-01-345
9528-244,1690277-01-0
9992-305,1560353-01-0
1102-304,1560309-03-0
GR20051,1694937-01-0
19997-685,1574923-01-0
GR20809,1624376-01-13
60023-002,1703366-01-118
GR20440,1629050-02-0
60082-004,1703376-01-48
16087-104,1716959-01-716
GR20882,1624356-03-23
GR808,1562563-02-0
GR21131,1655287-03-23
GR22608,1699715-01-0
60080-004,1703321-01-48
GR20891,1624365-01-23
GR19552,1626848-01-0
GR21020,1624360-01-22
GR20862,1625927-01-23
60063-001,1703345-01-345
GR20099,1629048-03-0
9331-014,1560336-01-0
GR911,1577635-01-0
15412-603,1651929-02-23
GR18552,1602206-01-0
60030-003,1703324-01-136
GR18675,1602029-01-0
GR20886,1624346-01-23
GR20897,1624343-03-23
GR20817,1624383-03-13
19981-100,1528156-01-0
GR20176,1629051-01-0
GR870,1652259-01-0
GR20175,1629048-01-0
60079-004,1703343-01-48
GR20840,1624357-03-13
60034-004,1703333-01-48
GR20813,1624350-02-13
GR19369,1610266-01-0
60001-001,1703368-01-345
60080-002,1703321-01-118
60098-004,1703390-01-48
GR19211,1610235-01-0
GR20138,1619093-01-0
GR799,1652209-01-0
GR18139,1600113-01-0
60030-004,1703324-01-48
GR893,1577725-01-0
GR19486,1618968-01-0
15445-602,1636637-01-23
GR91000-137,1564786-01-0
16093-108,1715052-01-715
GR21027,1624354-02-22
GR40900-180,1530218-01-0
GR20929,1624390-03-23
GR20196,1627107-01-0
GR21234,1650040-01-0
GR18550,1602001-01-0
GR865,1652262-01-0
GR21964,1647647-02-0
GR21502,1647445-01-0
GR21277,1650057-01-0
GR21344,1648559-01-0
GR20047,1694887-02-0
15433-702,1651959-01-553
GR21174,1648473-01-0
GR18529,1602007-01-0
15980-108,1716950-02-715
GR21617,1650717-01-0
GR20863,1624376-01-23
9519-244,1691118-01-0
60068-001,1703395-01-345
GR40800-180,1564732-01-0
GR21063,1655277-01-23
9598-075,1600302-01-0
GR18148,1601279-01-0
GR21603,1650113-01-0
15408-601,1651930-01-22
GR20183,1629045-01-0
GR18113,1600139-01-0
GR20799,1624361-02-13
GR19126,1610272-01-0
GR18979,1604382-01-0
18023-365,1574539-01-0
60052-003,1703403-01-136
16084-104,1715039-01-716
GR20827,1624381-02-13
GR19719,1619257-01-0
16061-104,1715042-01-715
60086-001,1703328-01-345
17700-008,1616154-01-0
GR19499,1618948-01-0
GR807,1572563-02-0
GR18799,1691607-01-0
60013-001,1703391-01-345
60019-001,1703365-01-345
9020-761,1607563-01-0
GR19184,1610219-02-0
17960-468,1528167-01-0
GR13100-000,1566810-01-0
9348-006,1566817-01-0
60050-002,1703377-01-118
GR21849,1650271-01-0
GR18100,1601200-01-0
GR19774,1627092-01-0
17702-990,1564674-01-0
19946-769,1610297-01-0
60019-002,1703365-01-118
GR21111,1655286-02-23
60058-004,1703322-01-48
60012-003,1703348-01-136
GR40700-180,1564776-01-0
GR18531,1602096-01-0
GR21085,1655282-03-22
7116-005,1560305-01-0
GR20969,1624342-02-23
